# Constructed from biom file
#OTU ID	S20.237.Sed.S20	S20.238.Sed.S20
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae	3.0	18.0
d__Bacteria;p__Myxococcota;c__bacteriap25;o__bacteriap25;f__bacteriap25	2.0	9.0
d__Bacteria;p__Bacteroidota;c__SJA-28;o__SJA-28;f__SJA-28	1.0	85.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Nodosilineaceae	0.0	36.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae	0.0	57.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae	0.0	25.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae	0.0	14.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae	0.0	12.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae	0.0	11.0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae	0.0	11.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15;f__SJA-15	0.0	11.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	0.0	10.0
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae	0.0	10.0
d__Bacteria;p__TA06;c__TA06;o__TA06;f__TA06	0.0	10.0
