# Constructed from biom file
#OTU ID,S8.128.H2O.S8,S14.131.H2O.S14,S18.134.H2O.S18,S24.137.H2O.S24,S29.140.H2O.S29,S10.158.H2O.S10,S21.161.H2O.S21,S28.164.H2O.S28,S30.167.H2O.S30,S32.170.H2O.S32
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae,10.0,241.0,8.0,9.0,377.0,229.0,558.0,39.0,85.0,356.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae,46.0,269.0,26.0,41.0,17.0,39.0,43.0,28.0,51.0,74.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__Paracaedibacteraceae,0.0,44.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,0.0,13.0,0.0,1.0,13.0,3.0,0.0,3.0,11.0,0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis,71.0,195.0,0.0,92.0,62.0,41.0,47.0,0.0,94.0,119.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae,0.0,102.0,24.0,32.0,90.0,23.0,303.0,0.0,12.0,52.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_III,0.0,121.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,23.0,62.0,0.0,0.0,15.0,0.0,37.0,0.0,0.0,7.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae,0.0,46.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,45.0,56.0,64.0,111.0,69.0,47.0,81.0,43.0,13.0,125.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,1961.0,1161.0,632.0,2619.0,709.0,342.0,914.0,2755.0,1300.0,3572.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae,725.0,2996.0,313.0,1142.0,1420.0,480.0,2478.0,1096.0,416.0,1236.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae,2603.0,596.0,65.0,714.0,27.0,272.0,132.0,361.0,125.0,794.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae,0.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae,11.0,61.0,0.0,6.0,13.0,7.0,0.0,0.0,20.0,0.0
