# Constructed from biom file
#OTU ID,S8.127.H2O.S8,S14.130.H2O.S14,S18.133.H2O.S18,S24.136.H2O.S24,S29.139.H2O.S29,S11.187.H2O.S11,S15.190.H2O.S15,S22.193.H2O.S22,S25.196.H2O.S25,S31.199.H2O.S31
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__0319-6G20,75.0,0.0,0.0,19.0,0.0,13.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__uncultured,0.0,0.0,16.0,0.0,0.0,11.0,11.0,15.0,15.0,0.0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,12.0,0.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__RBG-13-54-9;f__RBG-13-54-9,0.0,0.0,0.0,0.0,0.0,5.0,56.0,0.0,0.0,0.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae,13.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast,475.0,32.0,13.0,26.0,0.0,119.0,94.0,318.0,56.0,13.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae,0.0,0.0,0.0,0.0,23.0,0.0,39.0,0.0,0.0,0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae,0.0,3.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae,0.0,41.0,0.0,0.0,125.0,0.0,173.0,372.0,0.0,0.0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae,52.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae,0.0,0.0,0.0,0.0,55.0,0.0,10.0,10.0,0.0,0.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae,0.0,81.0,0.0,32.0,31.0,46.0,120.0,5.0,0.0,12.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae,0.0,8.0,39.0,53.0,63.0,183.0,10.0,79.0,360.0,183.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae,160.0,676.0,86.0,128.0,389.0,173.0,1631.0,223.0,134.0,186.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae,0.0,0.0,0.0,0.0,0.0,14.0,20.0,28.0,0.0,11.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae,0.0,0.0,0.0,0.0,16.0,0.0,31.0,17.0,0.0,16.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__Paracaedibacteraceae,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
